epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8895,4.23474,10.4524,2.48832,0.63525,0.01093,0.00618,0.00288,2.78202,4.53585,1.73015,6.64926e-05,6.64926e-05,6.64926e-05
2,182.726,2.73332,5.73137,1.62422,0.00415,0.38071,0.01427,0.00557,2.22586,121.703,1.3945,0.000130523,0.000130523,0.000130523
3,278.835,2.25972,4.5425,1.38903,0.43083,0.10803,0.03427,0.01969,1.77795,94.9891,1.18688,0.000191913,0.000191913,0.000191913
4,373.3,2.06725,3.96935,1.28766,0.28696,0.13952,0.05027,0.02628,1.80103,inf,1.18469,0.00018812,0.00018812,0.00018812
5,464.187,1.92907,3.47889,1.21521,0.34314,0.24531,0.15691,0.09706,1.40157,159.056,1.05065,0.00018416,0.00018416,0.00018416
6,556.135,1.88697,3.24937,1.20081,0.34731,0.30297,0.15483,0.10595,1.44509,16.9769,1.04625,0.0001802,0.0001802,0.0001802
7,647.534,1.85465,3.03914,1.18794,0.4923,0.26964,0.18139,0.11999,1.49056,49.6121,1.06478,0.00017624,0.00017624,0.00017624
8,738.216,1.76571,2.80495,1.15064,0.35983,0.39384,0.2533,0.15836,1.45249,39.4589,1.04546,0.00017228,0.00017228,0.00017228
9,827.644,1.71989,2.6409,1.12674,0.46584,0.32765,0.24946,0.14673,1.66678,17.0274,1.10618,0.00016832,0.00016832,0.00016832
10,916.672,1.6746,2.49337,1.11083,0.36284,0.4103,0.29411,0.17761,1.48352,23.2664,1.04124,0.00016436,0.00016436,0.00016436
11,1005.96,1.65864,2.45536,1.1123,0.48298,0.35528,0.29047,0.1675,1.54761,20.475,1.07215,0.0001604,0.0001604,0.0001604
12,1098.13,1.6415,2.37553,1.0951,0.47499,0.43279,0.32364,0.20107,1.45162,12.9148,1.02374,0.00015644,0.00015644,0.00015644
13,1196.61,1.59686,2.23183,1.09653,0.41885,0.43503,0.35689,0.2194,1.39767,14.7325,1.01865,0.00015248,0.00015248,0.00015248
14,1301.84,1.58653,2.19728,1.07938,0.4519,0.44399,0.39057,0.24047,1.43646,5.83568,1.02527,0.00014852,0.00014852,0.00014852
15,1404.77,1.55806,2.12297,1.05944,0.60969,0.34497,0.40737,0.25746,1.41232,4.08592,1.01667,0.00014456,0.00014456,0.00014456
16,1507.97,1.57979,2.07709,1.07369,0.45073,0.40065,0.39637,0.25199,1.25337,3.59461,0.96197,0.0001406,0.0001406,0.0001406
17,1601.05,1.52866,2.06104,1.04478,0.42401,0.43691,0.43989,0.25351,1.44268,4.17449,1.01604,0.00013664,0.00013664,0.00013664
18,1703.82,1.53838,2.0087,1.05999,0.51097,0.46971,0.46188,0.28023,1.35279,2.09101,0.98325,0.00013268,0.00013268,0.00013268
19,1815.94,1.52642,1.92497,1.0547,0.45353,0.43731,0.46278,0.23007,1.67387,2.96381,1.09678,0.00012872,0.00012872,0.00012872
20,1917.32,1.46018,1.80932,1.02676,0.51168,0.47066,0.47804,0.27489,1.47933,2.46144,1.01521,0.00012476,0.00012476,0.00012476
21,2013.12,1.46572,1.80178,1.03871,0.56557,0.4608,0.46891,0.28004,1.41934,7.37484,1.00333,0.0001208,0.0001208,0.0001208
